"","Approved.symbol","NCBI.Gene.ID","keggGene"
"15486","MOB3C",148932,"hsa:148932"
"15487","GLIS1",148979,"hsa:148979"
"15488","NBPF12",149013,"hsa:149013"
"15489","LELP1",149018,"hsa:149018"
"15490","RC3H1",149041,"hsa:149041"
"15491","DCDC2B",149069,"hsa:149069"
"15492","ZNF362",149076,"hsa:149076"
"15493","DCST1",149095,"hsa:149095"
"15494","CNIH3",149111,"hsa:149111"
"15495","MANEAL",149175,"hsa:149175"
"15496","IL23R",149233,"hsa:149233"
"15497","METTL11B",149281,"hsa:149281"
"15498","FAM78B",149297,"hsa:149297"
"15499","SHISA4",149345,"hsa:149345"
"15500","EXOC8",149371,"hsa:149371"
"15501","PDIK1L",149420,"hsa:149420"
"15502","BNIPL",149428,"hsa:149428"
"15503","CLDN19",149461,"hsa:149461"
"15504","CFAP57",149465,"hsa:149465"
"15505","C1orf210",149466,"hsa:149466"
"15506","CCDC24",149473,"hsa:149473"
"15507","BTBD19",149478,"hsa:149478"
"15508","CCDC17",149483,"hsa:149483"
"15509","LRRC71",149499,"hsa:149499"
"15510","SRARP",149563,"hsa:149563"
"15511","RNF187",149603,"hsa:149603"
"15512","PYHIN1",149628,"hsa:149628"
"15513","SPATA45",149643,"hsa:149643"
"15514","FAM71A",149647,"hsa:149647"
"15515","ADIG",149685,"hsa:149685"
"15516","GTSF1L",149699,"hsa:149699"
"15517","WFDC5",149708,"hsa:149708"
"15518","SHLD1",149840,"hsa:149840"
"15519","COMMD7",149951,"hsa:149951"
"15520","BPIFB4",149954,"hsa:149954"
"15521","LSM14B",149986,"hsa:149986"
"15522","LIPI",149998,"hsa:149998"
"15523","LCA5L",150082,"hsa:150082"
"15524","IGSF5",150084,"hsa:150084"
"15525","SIK1",150094,"hsa:150094"
"15526","SLC9B1",150159,"hsa:150159"
"15527","CCT8L2",150160,"hsa:150160"
"15528","XKR3",150165,"hsa:150165"
"15529","AIFM3",150209,"hsa:150209"
"15530","RIMBP3C",150221,"hsa:150221"
"15531","YDJC",150223,"hsa:150223"
"15532","C22orf15",150248,"hsa:150248"
"15533","HSCB",150274,"hsa:150274"
"15534","CCDC117",150275,"hsa:150275"
"15535","HORMAD2",150280,"hsa:150280"
"15536","DUSP18",150290,"hsa:150290"
"15537","C22orf42",150297,"hsa:150297"
"15538","ENTHD1",150350,"hsa:150350"
"15539","DNAJB7",150353,"hsa:150353"
"15540","CHADL",150356,"hsa:150356"
"15541","MEI1",150365,"hsa:150365"
"15542","PHETA2",150368,"hsa:150368"
"15543","NFAM1",150372,"hsa:150372"
"15544","PNPLA5",150379,"hsa:150379"
"15545","CDPF1",150383,"hsa:150383"
"15546","TTL",150465,"hsa:150465"
"15547","CKAP2L",150468,"hsa:150468"
"15548","CBWD2",150472,"hsa:150472"
"15549","TEKT4",150483,"hsa:150483"
"15550","SMYD1",150572,"hsa:150572"
"15551","C2orf15",150590,"hsa:150590"
"15552","OTOS",150677,"hsa:150677"
"15553","COPS9",150678,"hsa:150678"
"15554","OR6B3",150681,"hsa:150681"
"15555","COMMD1",150684,"hsa:150684"
"15556","PROM2",150696,"hsa:150696"
"15557","ANKAR",150709,"hsa:150709"
"15558","FBXO41",150726,"hsa:150726"
"15559","TTC30B",150737,"hsa:150737"
"15560","GPAT2",150763,"hsa:150763"
"15561","ITPRIPL1",150771,"hsa:150771"
"15562","RAB6D",150786,"hsa:150786"
"15563","FAM117B",150864,"hsa:150864"
"15564","TCF23",150921,"hsa:150921"
"15565","GAREM2",150946,"hsa:150946"
"15566","PUS10",150962,"hsa:150962"
"15567","SEPTIN10",151011,"hsa:151011"
"15568","KANSL1L",151050,"hsa:151050"
"15569","PLB1",151056,"hsa:151056"
"15570","ZSWIM2",151112,"hsa:151112"
"15571","ZNF385B",151126,"hsa:151126"
"15572","ERFE",151176,"hsa:151176"
"15573","ARL6IP6",151188,"hsa:151188"
"15574","METTL21A",151194,"hsa:151194"
"15575","CCNYL1",151195,"hsa:151195"
"15576","KLHL23",151230,"hsa:151230"
"15577","PPP1R1C",151242,"hsa:151242"
"15578","SGO2",151246,"hsa:151246"
"15579","C2CD6",151254,"hsa:151254"
"15580","SLC38A11",151258,"hsa:151258"
"15581","CCDC140",151278,"hsa:151278"
"15582","SLC23A3",151295,"hsa:151295"
"15583","GPBAR1",151306,"hsa:151306"
"15584","FAHD2B",151313,"hsa:151313"
"15585","LRATD1",151354,"hsa:151354"
"15586","RMDN2",151393,"hsa:151393"
"15587","GDF7",151449,"hsa:151449"
"15588","SLC16A14",151473,"hsa:151473"
"15589","ASPRV1",151516,"hsa:151516"
"15590","WDSUB1",151525,"hsa:151525"
"15591","UPP2",151531,"hsa:151531"
"15592","GPR155",151556,"hsa:151556"
"15593","TTC14",151613,"hsa:151613"
"15594","DTX3L",151636,"hsa:151636"
"15595","TAFA4",151647,"hsa:151647"
"15596","SGO1",151648,"hsa:151648"
"15597","PP2D1",151649,"hsa:151649"
"15598","EFHB",151651,"hsa:151651"
"15599","PPM1L",151742,"hsa:151742"
"15600","WDR49",151790,"hsa:151790"
"15601","LRRC34",151827,"hsa:151827"
"15602","CPNE9",151835,"hsa:151835"
"15603","DPPA2",151871,"hsa:151871"
"15604","CCDC80",151887,"hsa:151887"
"15605","BTLA",151888,"hsa:151888"
"15606","CCDC12",151903,"hsa:151903"
"15607","MB21D2",151963,"hsa:151963"
"15608","PPP4R2",151987,"hsa:151987"
"15609","XXYLT1",152002,"hsa:152002"
"15610","RNF38",152006,"hsa:152006"
"15611","GLIPR2",152007,"hsa:152007"
"15612","ROPN1B",152015,"hsa:152015"
"15613","C3orf22",152065,"hsa:152065"
"15614","PQLC2L",152078,"hsa:152078"
"15615","ZCWPW2",152098,"hsa:152098"
"15616","CMC1",152100,"hsa:152100"
"15617","NEK10",152110,"hsa:152110"
"15618","CCDC50",152137,"hsa:152137"
"15619","PYDC2",152138,"hsa:152138"
"15620","SPICE1",152185,"hsa:152185"
"15621","CMTM8",152189,"hsa:152189"
"15622","CCDC13",152206,"hsa:152206"
"15623","NCBP2AS2",152217,"hsa:152217"
"15624","FGD5",152273,"hsa:152273"
"15625","CNTN4",152330,"hsa:152330"
"15626","IGSF11",152404,"hsa:152404"
"15627","TEX55",152405,"hsa:152405"
"15628","ZNF827",152485,"hsa:152485"
"15629","SH3D19",152503,"hsa:152503"
"15630","NFXL1",152518,"hsa:152518"
"15631","NIPAL1",152519,"hsa:152519"
"15632","PAQR3",152559,"hsa:152559"
"15633","SHISA3",152573,"hsa:152573"
"15634","SCFD2",152579,"hsa:152579"
"15635","MGAT4D",152586,"hsa:152586"
"15636","ZNF595",152687,"hsa:152687"
"15637","FAM218A",152756,"hsa:152756"
"15638","JAKMIP1",152789,"hsa:152789"
"15639","THAP6",152815,"hsa:152815"
"15640","ODAPH",152816,"hsa:152816"
"15641","KLB",152831,"hsa:152831"
"15642","FAM53A",152877,"hsa:152877"
"15643","PPM1K",152926,"hsa:152926"
"15644","C4orf45",152940,"hsa:152940"
"15645","TRMT44",152992,"hsa:152992"
"15646","RASGEF1B",153020,"hsa:153020"
"15647","DAB2IP",153090,"hsa:153090"
"15648","SLC38A9",153129,"hsa:153129"
"15649","SLC36A2",153201,"hsa:153201"
"15650","SPINK13",153218,"hsa:153218"
"15651","CREBRF",153222,"hsa:153222"
"15652","CEP120",153241,"hsa:153241"
"15653","SLC25A48",153328,"hsa:153328"
"15654","TMEM167A",153339,"hsa:153339"
"15655","MBLAC2",153364,"hsa:153364"
"15656","TMEM161B",153396,"hsa:153396"
"15657","SRFBP1",153443,"hsa:153443"
"15658","PLEKHG4B",153478,"hsa:153478"
"15659","ZMAT2",153527,"hsa:153527"
"15660","MARVELD2",153562,"hsa:153562"
"15661","C5orf38",153571,"hsa:153571"
"15662","IRX2",153572,"hsa:153572"
"15663","BTNL9",153579,"hsa:153579"
"15664","ARSK",153642,"hsa:153642"
"15665","FAM81B",153643,"hsa:153643"
"15666","TTC23L",153657,"hsa:153657"
