id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q9BSE5	0.147	-0.043	-0.076	-0.102	0.997	-0.16	-0.232	-0.093	2.148	-0.105	-0.222	-0.173
A8K6S3	-0.038	0.179	0.047	0.007	0.274	0.264	0.091	0.246	0.867	-0.03	0.298	-0.271
Q15493	0.132	-0.187	0.241	-0.687	1.288	-0.196	0.967	-0.463	1.645	-0.113	0.717	-0.099
P49419-3	0.129	0.282	0.527	0.034	1.145	0.408	0.252	-0.13	1.59	0.304	0.222	0.056
P34897	0.212	0.052	0.195	0.296	0.669	-0.255	0.015	-0.03	1.76	0.844	0.1	0.183
Q15067	0.047	NA	-0.113	NA	0.641	NA	-0.206	NA	1.278	NA	0.084	NA
Q14749	0.058	NA	-0.046	NA	0.922	NA	-0.124	NA	1.611	NA	-0.559	NA
Q7LFX5	0.254	0.515	0.321	0.013	0.089	0.455	0.16	-0.028	-0.111	0.041	0.053	0.019
P12429	-0.234	-0.461	-0.423	-0.114	-0.392	-0.565	-0.275	-0.277	-0.137	-0.442	-1.036	-0.058
Q8N4A0	0.066	-0.118	0.014	-0.104	-0.172	-0.1	-0.002	-0.022	-0.042	-0.034	0.098	-0.073
B2R775	0.066	-0.079	-0.012	-0.109	-0.172	-0.091	-0.016	-0.033	-0.042	-0.032	0.094	-0.08
Q9NT99	-0.014	-0.019	0.007	-0.02	-0.058	-0.102	0.063	-0.078	-0.126	-0.02	-0.006	-0.111
Q92954-3	0.113	0.048	-0.013	-0.472	0.112	0.127	0.011	-0.287	0.047	-0.019	0.013	-0.411
A6NC48	-0.054	0.023	0.056	-0.09	0.051	0.033	0.029	-0.032	-0.003	-0.049	0.09	-0.047
Q9UQ80	-0.144	0.029	-0.162	0.19	0.243	0.217	-0.109	0.286	0.269	0.115	0.007	0.155
Q9UHN6	0.118	-0.04	-0.037	0.573	-0.048	-0.018	-0.017	0.442	-0.026	0.04	-0.015	0.089
Q99542	-0.184	-0.011	0.018	-0.109	-0.277	0.012	0.053	-0.073	-0.349	0.055	-0.037	-0.15
Q49A43	-0.008	0.006	0.099	-0.035	-0.096	0.02	0.051	0.049	-0.145	-0.053	0.059	0.011
Q8N474	1.478	1.494	1.481	1.005	0.974	1.174	0.674	0.604	0.002	0.127	0.051	0.151
B3KTW0	0.049	0.051	-0.068	0.039	0.053	0.142	-0.143	0.038	0.454	0.137	0.001	-0.07
P38606	-0.106	0.046	-0.057	0.316	0.098	0.111	0.043	0.26	0.188	0.033	-0.123	-0.048
B7Z793	0.176	0.132	0.158	0.486	0.909	0.806	1.02	0.65	0.754	0.385	0.633	0.801
P55103	-0.183	0.005	-0.057	0.043	-0.329	0.014	0.093	0.081	-0.195	-0.052	-0.159	0.015
Q02952	0.164	-0.131	0.084	-0.124	0.069	-0.103	-0.114	-0.353	0.123	0.055	-0.035	-0.231
P55285	-0.051	0.088	0.057	0.007	-0.067	0.034	0.079	0.006	0.001	0.012	-0.314	-0.022
Q14956	-0.16	-0.061	0.033	0.051	0.074	-0.009	-0.004	-0.03	-0.021	-0.084	0.031	-0.008
A8MT47	-0.143	-0.262	0.036	0.223	-0.034	-0.257	0.008	0.093	-0.272	-0.395	0.135	0.028
P59998	-0.005	0.205	0.086	0.315	0.303	0.355	0.195	0.658	0.466	0.444	0.048	0.426
B4DMJ7	0.274	0.189	-0.035	0.212	0.75	0.485	1.035	0.366	1.052	0.566	1.329	0.678
Q7Z738	0.028	-0.07	-0.097	-0.014	-0.279	-0.202	-0.039	-0.013	-0.104	-0.201	-0.112	-0.127
B7Z7F0	0.076	0.07	-0.118	0.237	0.406	0.357	0.227	0.249	0.574	0.494	0.457	0.469
Q71U36	-0.169	0.002	0.21	0.142	0.153	-0.018	0.34	0.131	-0.091	-0.145	-0.131	0.134
D3DQX5	0.366	0.821	0.575	0.324	0.274	0.786	0.439	0.315	0.41	0.062	0.039	0.027
P60900	0.084	0.076	0.06	0.197	0.504	0.201	0.081	0.151	0.946	0.275	0.323	0.234
P19652	0.046	-0.21	-0.874	-1.45	0.049	-0.273	-0.508	-1.519	-0.098	-0.18	-0.328	-1.582
A8K6J7	-0.133	0.008	0.024	0.03	0.007	0.038	-0.053	0.056	-0.078	0.054	0.066	-0.043
P14324	-0.023	0.091	0.031	0.018	0.4	0.229	0.098	0.134	0.892	0.237	0.15	0.139
Q15223	-0.095	0.001	-0.088	0.05	-0.094	-0.011	-0.125	-0.086	-0.112	0.018	-0.035	-0.056
P13727	-0.101	-0.004	0.028	0.043	-0.073	-0.035	0.014	-0.006	-0.203	-0.032	0.113	-0.04
Q66K77	-0.026	-0.074	0.014	-0.025	-0.099	-0.081	-0.012	-0.074	-0.107	-0.034	0.076	-0.047
Q6S8J3	0.534	-0.07	0.16	0.132	0.152	-0.077	0.092	0.06	0.053	0.113	0.124	0.217
Q8NCW5	0.006	0.082	-0.074	0.176	0.429	0.323	0.29	0.14	0.844	0.62	0.765	0.346
P55899	-0.027	-0.062	-0.007	0.018	-0.042	-0.101	-0.045	0.03	-0.181	-0.099	-0.013	0.057
Q15404	-0.629	-0.341	0.506	0.496	-0.41	-0.417	-0.036	0.781	-0.035	0.018	-0.64	0.685
B4DWU0	-1.491	-1.768	-0.225	-0.187	-1.377	-1.82	-0.416	0.824	-1.02	-1.132	-0.73	0.448
P11362-7	-0.036	0.091	0.065	-0.006	0.033	0.049	-0.003	-0.036	0.002	-0.021	-0.016	-0.032
P11362	-0.036	0.108	0.069	-0.001	0.024	0.055	-0.003	-0.063	-0.001	-0.041	0.003	-0.03
P18850	-0.077	-0.064	-0.01	0.014	-0.066	-0.058	-0.039	-0.119	-0.139	-0.016	0.014	-0.096
P14222	-0.132	-0.115	-0.156	-0.071	-0.214	-0.152	-0.198	-0.145	-0.305	-0.216	-0.268	-0.179
Q9Y5Y7	-0.108	0.027	0.008	-0.022	-0.033	-0.008	-0.011	-0.071	-0.135	-0.054	0.087	-0.063
B2RDA1	0.115	-0.014	0.021	0.106	0.258	0.1	0.046	0.049	0.247	0.162	0.278	0.045
P01034	-0.026	0.026	-0.034	-0.022	-0.228	-0.051	0.06	-0.025	-0.167	0.014	-0.052	-0.029
P07360	0.715	-0.683	-0.076	-1.066	0.123	-0.421	-1.191	-0.965	0.63	-0.7	-0.975	-0.832
A8K383	-0.082	-0.073	0.005	0.045	-0.083	-0.095	-0.039	-0.114	-0.176	-0.082	-0.007	-0.091
P15090	0.074	0.073	0.179	0.034	0.001	0.144	0.36	0.145	-0.113	-0.003	0.14	-0.087
P15151-3	-0.024	0.06	0.208	0.099	-0.105	0.043	0.1	0.044	-0.149	0.003	0.057	-0.078
Q5M8T4	0.011	-0.02	-0.041	-0.084	-0.04	-0.027	-0.066	-0.077	-0.005	-0.064	0.021	-0.054
P15151-2	-0.032	0.057	0.194	0.096	-0.101	0.046	0.1	0.038	-0.158	0.003	0.057	-0.071
P21741	2.474	2.662	2.389	1.77	1.987	2.279	1.09	1.143	0.042	0.283	0.296	0.206
P01137	0.297	-0.086	0.15	-0.024	0.165	-0.061	-0.047	0.056	0.223	-0.036	0.359	-0.123
B7ZLQ1	0.029	0.062	0.01	0.006	-0.007	0.001	-0.043	-0.123	-0.055	0.01	0.059	-0.068
Q01638	-0.161	0.111	0.057	0.151	-0.004	0.085	0.119	0.06	-0.071	0.133	0.178	0.047
Q96CA6	0.111	-0.028	0.019	0.14	0.374	-0.023	0.003	-0.069	1.537	0.096	-0.074	0.006
Q6P089	0.297	-0.519	-1.136	-0.618	0.181	-0.337	-0.77	-0.968	0.183	-0.39	-0.256	-1.21
O94919	0.204	0.021	0.103	0.068	0.226	0.025	-0.163	0.124	0.049	-0.103	0.276	-0.133
P62158	0.069	0.102	0.347	0.359	0.517	0.238	0.436	0.558	0.334	0.131	0.002	0.179
B4E2I0	0.353	0.326	-0.12	-0.389	0.54	0.549	0.224	0.175	0.689	0.729	0.022	0.329
Q99983	0.01	0.107	0.117	0.086	0.098	0.194	0.164	0.13	0.129	0.284	0.185	0.202
Q9Y281	-0.305	-0.154	0.051	0.163	-0.069	-0.191	-0.113	0.424	0.312	-0.014	-0.197	0.408
Q9UJJ9	-0.164	-0.025	0.002	-0.109	-0.315	-0.033	0.047	-0.033	-0.247	-0.035	-0.249	-0.029
P62136	0.096	0.008	0.056	0.209	0.106	0.171	0.236	0.263	0.513	0.252	0.193	0.293
P20061	0.04	-0.004	0.038	-0.081	0.108	0.018	-0.052	-0.105	0.027	-0.018	0.037	-0.082
Q01469	0.159	-0.001	0.257	-0.018	0.281	0.063	0.47	0.002	0.243	-0.297	0.085	-0.017
P14207	-0.088	0.072	0.059	-0.045	0.107	0.104	0.005	0.076	0.033	0.01	0.061	-0.123
Q96NZ9	0.022	0.087	0.053	0.09	-0.276	0.064	0.223	0.174	0.033	0.095	-0.215	0.152
Q96NZ9-3	0.023	0.078	0.047	0.063	-0.287	0.062	0.207	0.148	0.008	0.085	-0.178	0.146
B7ZLQ0	0.002	0.071	0.01	-0.082	-0.013	0.023	-0.043	-0.16	-0.06	0.019	0.059	-0.154
Q495W5	0.041	-0.017	0.1	0.004	-0.028	0.096	0.072	-0.013	-0.028	0.044	0.113	-0.055
Q8IW45	0.169	-0.007	-0.049	NA	0.431	0.179	0.411	NA	0.931	0.338	0.714	NA
Q9H993	-0.118	0.023	-0.029	0.097	0.204	0.185	-0.068	0.092	0.673	0.241	0.28	0.256
Q5KU26	-0.1	-0.023	-0.008	-0.225	-0.062	0.009	-0.103	-0.148	-0.021	-0.127	-0.066	-0.176
P62140	0.124	0.008	0.056	0.209	0.239	0.23	0.258	0.205	0.529	0.299	0.249	0.269
Q96S96	-0.021	0.057	0.064	-0.06	0.05	0.082	-0.026	0.041	-0.056	-0.045	0.156	-0.13
P02753	0.935	-0.819	0.033	-1.357	0.138	-0.556	-1.04	-1.288	0.702	-0.706	-0.89	-1.015
P15586	0.04	-0.07	-0.044	0.068	0.01	0.018	-0.019	0.081	-0.085	-0.066	0.156	0.068
P98155	-0.013	-0.03	0.028	0.261	-0.122	0.028	0.03	-0.209	0.094	0.099	0.109	-0.16
Q13797	0.008	0.047	0.023	-0.038	0.014	0.03	-0.012	-0.015	-0.188	0.063	0.021	0.099
P36873-2	0.121	-0.018	0.056	0.194	0.168	0.195	0.217	0.259	0.513	0.252	0.193	0.287
B2R780	-0.147	0.078	-0.017	-0.105	-0.162	0.102	-0.062	-0.155	-0.222	0.078	-0.088	-0.168
Q16539	-0.145	0.056	0.092	0.23	-0.059	0.052	0.094	0.262	0.111	0.234	0.012	0.192
Q9HCN6-3	0.051	-0.035	0.133	0.295	-0.02	-0.048	0.155	0.261	-0.039	0.201	0.148	0.235
Q15848	0	-0.026	0.009	-0.07	-0.074	-0.008	-0.047	0.005	-0.096	-0.046	-0.01	0.162
Q13153	0.077	0.005	-0.015	-0.068	-0.05	0.046	0.047	0.012	0.009	0.157	0.032	0.082
Q6IBS0	0.002	-0.162	0.319	0.305	0.162	-0.096	0.031	0.364	0.369	0.047	-0.319	0.232
Q8NFL0	0.109	-0.028	0.001	0.003	-0.022	0.029	-0.031	-0.013	0.004	0.012	-0.065	0.004
Q5HYE4	0.008	0.004	-0.099	0.005	0.033	0.109	0.021	-0.081	0.187	0.18	0.308	0.089
Q8NCE6	-0.033	-0.083	0.001	0.077	-0.08	-0.025	0.012	-0.041	-0.081	0.045	0.045	-0.071
Q8N5F4	-0.081	-0.507	-1.746	-1.083	-0.104	-0.401	-1.84	-1.428	0.013	-0.543	-0.636	-1.47
A0A5E4	-0.05	-0.535	-1.738	-1.089	-0.08	-0.416	-1.836	-1.496	0.025	-0.543	-0.663	-1.506
Q7Z3Y4	0.037	-0.411	-1.353	-0.468	-0.072	-0.3	-1.574	-0.675	0.105	-0.3	-0.643	-0.438
P16870	0.042	0.065	0.095	-0.039	-0.039	0.199	-0.01	0.03	0.107	0.033	0.108	-0.059
A5YM53	-0.033	0.026	-0.022	-0.133	-0.133	-0.118	-0.016	0.003	-0.141	0.033	0.073	-0.048
B7Z5W1	-0.046	0.164	0.18	-0.059	0.238	0.036	0.078	0.015	0.765	0.003	0.042	0.081
B4DPV7	0.115	0.107	-0.099	0.005	0.094	0.066	0.021	-0.081	0.156	0.187	0.308	0.089
Q7Z2U7	-0.105	-0.541	-1.698	-1.095	-0.093	-0.427	-1.768	-1.492	0.014	-0.554	-0.615	-1.498
Q6GMX4	-0.081	-0.533	-1.742	-1.107	-0.101	-0.407	-1.826	-1.487	0.018	-0.549	-0.679	-1.519
Q9Y2S2	-0.01	0.083	0.088	0.403	0.571	0.007	0.112	0.421	1.224	0.155	-0.029	0.294
P54819	0.033	0.019	0.035	0.024	0.757	-0.082	0.376	0.091	1.126	0.035	0.525	0.298
P30040	-0.088	-0.062	0.213	0.823	0.918	-0.087	0.244	0.517	0.925	0.005	-0.011	0.22
O15247	0.052	-0.079	0.081	0.26	0.112	-0.156	0.013	0.339	0.095	-0.068	-0.296	0.19
Q9UDR5	0.2	-0.019	-0.085	-0.006	0.551	-0.003	-0.277	0.348	1.42	0.059	-0.402	0.261
P46952	0.038	-0.057	-0.13	0.633	0.651	0.048	0.036	0.592	1.071	-0.127	-0.433	0.108
Q14525	1.545	-1.006	0.201	-0.212	0.334	-0.983	0.388	0.113	-0.316	0.121	0.02	0.424
P78386	1.573	-2.277	-0.227	0.279	0.304	-2.276	-0.326	0.97	-0.325	-1.945	-0.217	0.683
Q16762	0.075	0.087	NA	NA	1.434	0.055	NA	NA	1.838	0.517	NA	NA
Q14517	-0.102	-0.136	-0.159	-0.213	-0.171	-0.241	-0.019	0.268	-0.167	-0.12	-0.252	0.438
Q86Z14	-0.009	-0.018	-0.082	-0.017	-0.111	-0.016	0.015	-0.065	-0.184	0.021	0.057	0.023
Q9NTK5	0	0.225	-0.158	0.258	0.291	0.524	-0.028	0.285	0.539	0.26	0.055	0.279
A8K8N7	-0.057	0.113	-0.084	0.28	0.126	0.332	0.081	0.359	0.317	0.255	-0.018	0.293
Q9UHL4	-0.16	-0.01	0.068	-0.115	0.012	0.055	-0.021	0.008	-0.099	-0.086	0.122	-0.139
O15204	-0.157	0.037	0.045	-0.042	-0.395	0.078	0.202	-0.001	-0.119	-0.103	-0.431	-0.023
Q6UXK5	0.018	-0.028	0.074	0.089	-0.139	0.033	0.005	-0.111	-0.096	-0.06	0.057	-0.085
A6H8L5	1.096	0.983	1.085	1.103	1.501	1.418	1.087	1.186	0.04	0.542	-0.067	-0.104
A1C2E8	-0.007	0.02	0.011	-0.089	-0.008	0.03	-0.078	-0.031	-0.051	-0.085	-0.085	-0.06
Q96B86-2	-0.13	0.074	-0.049	0.123	0.008	-0.018	-0.117	0.121	-0.143	-0.004	-0.217	0.012
Q9NRN5	0.475	0.602	0.307	-0.077	-0.15	0.32	-0.181	-0.182	-0.238	-0.313	-0.642	-0.306
D3DSQ1	0.019	0.026	0.086	-0.089	0.255	0.084	0.238	0.1	0.04	0.03	0.195	-0.038
Q9ULA0	0.086	0.067	-0.112	0.237	0.409	0.368	0.236	0.249	0.678	0.536	0.546	0.469
P25789	0.052	0.111	-0.027	0.213	0.466	0.22	0.088	0.31	1.01	0.303	0.388	0.339
P25787	0.147	0.084	-0.037	0.191	0.467	0.129	0.11	0.225	0.908	0.193	0.276	0.229
P98161	-0.143	0	0.012	0	-0.115	-0.032	-0.025	0.053	-0.386	0.043	0.023	0.073
Q8IWK6	-0.124	-0.032	0.017	0.038	-0.093	0.009	0.067	-0.032	-0.085	0.089	0.107	0.001
Q01973	-0.023	-0.074	0.02	0.053	-0.083	-0.074	-0.02	-0.007	-0.097	-0.034	0.047	-0.047
P42892	0.02	0.009	0.054	0.052	0.045	0.044	0.087	-0.049	0.087	0.021	0.089	-0.118
Q9NUQ9	0.001	-0.056	-0.022	0.012	0.051	-0.027	-0.172	0.134	0.004	0.016	-0.062	0.013
Q12866	-0.13	-0.016	-0.024	0.004	-0.022	0.003	-0.049	-0.059	-0.01	-0.062	-0.016	-0.004
P05154	0.208	-0.434	-0.365	-0.548	-0.092	-0.515	-0.492	-0.333	0.095	-0.366	-0.425	-0.239
P21246	1.989	1.98	1.986	2.892	2.108	1.464	1.478	2.72	0.133	0.249	0.497	0.48
P52907	-0.07	0.1	0.072	0.526	0.111	0.222	0.179	0.486	0.31	0.155	-0.235	0.255
Q9BXD5	-0.292	-0.125	-0.158	0.014	-0.467	-0.213	-0.198	-0.243	-0.407	-0.343	-0.115	-0.244
P02042	0.032	0.408	-0.524	-0.254	0.051	0.771	-0.173	-0.052	0.084	0.307	0.078	-0.265
P15531-2	0.043	0.211	-0.016	0.229	0.477	0.558	0.254	0.454	0.593	0.266	0.275	0.308
P50453	-0.085	0.027	0.232	0.205	0.275	-0.034	0.064	0.257	0.12	0.015	-0.237	0.161
Q9UPY7	-0.067	0.081	0.079	0.045	-0.093	0.062	-0.005	0.058	-0.383	-0.043	0.093	0.038
B1ALS2	-0.049	0.007	0.028	-0.08	-0.014	-0.008	-0.075	0.002	-0.146	-0.073	0.002	-0.085
Q496M4	-0.056	0.031	0.048	0.036	0.005	0.049	0.017	0.075	-0.079	0.012	-0.024	-0.04
Q6IAZ2	-0.026	0.07	0.032	-0.041	0.004	0.034	0.042	-0.037	-0.093	-0.008	0.05	-0.062
Q6ZRS5	-0.137	-0.058	-0.06	-0.021	-0.068	-0.046	-0.046	-0.023	-0.035	-0.069	-0.024	-0.133
A8MVM2	0.028	0.191	0.141	0.096	0.332	0.172	0.271	0.099	0.2	0.336	0.599	0.256
D3DQH8	0.508	-0.183	0.145	-0.065	0.4	-0.254	-0.194	-0.118	0.234	-0.504	0.241	-0.571
B3KNV8	-0.062	0.095	-0.019	0.093	-0.045	0.143	0.101	0.066	-0.059	-0.013	-0.012	0.025
P22455	-0.154	0.086	0.014	-0.03	0.017	0.062	-0.186	0.031	-0.082	-0.071	-0.111	-0.05
Q86UD1	-0.095	0.039	0.008	0.052	-0.147	0.034	0.147	-0.045	-0.101	0.055	0.06	0.031
O14498	-0.108	0.069	-0.024	-0.069	-0.026	0.019	-0.01	-0.027	-0.116	-0.034	-0.026	-0.03
Q9UNZ2-5	0.118	0.098	-0.136	0.114	0.081	0.32	0.045	0.091	0.317	0.171	0.002	0.152
P07711	-0.05	0.06	0.172	0.154	0.084	0.05	0.288	0.241	0.081	-0.186	0.155	0.077
P07998	-0.065	0.122	0.064	-0.124	0.03	0.189	-0.113	-0.057	-0.009	-0.046	0.011	-0.123
P20851	0.427	-0.665	-0.263	-0.764	0.149	-0.579	-0.56	-0.387	0.62	-0.623	-0.708	-0.387
O95336	-0.014	-0.046	-0.055	0.235	0.217	0.112	0.01	0.32	0.176	0.136	-0.006	0.187
P30042	0.34	0.701	0.009	0.6	1.666	1.385	1.692	0.599	1.789	1.047	1.341	0.82
Q95365	-0.087	0.041	-0.063	0.022	0.019	0.087	0.003	0.026	-0.055	-0.02	-0.063	-0.086
P47755	-0.059	0.089	0.211	0.076	0.103	0.069	0.269	0.28	0.245	0.174	0.076	0.137
Q01970	0.023	-0.104	-0.064	-0.069	-0.122	-0.123	-0.083	-0.01	-0.103	-0.071	-0.039	0.071
B4E2P4	0.067	-0.027	0.02	0.168	0.17	0.124	0.1	0.286	0.573	0.222	0.323	0.292
B4DE59	-0.556	-1.126	-0.126	-0.143	-0.471	-1.048	-0.282	-0.067	-0.307	-0.581	-0.387	0.049
P21810	0.736	0.798	0.497	0.82	0.948	1.082	0.602	0.953	0.188	0.764	0.578	0.324
P06213	0.003	0.049	0.025	0.043	-0.055	-0.062	0.021	0.079	-0.148	-0.179	0.046	0.017
P42126	0.006	-0.004	-0.044	-0.131	0.293	0.057	0.354	-0.163	0.718	0.421	0.84	0.111
P52565	-0.184	-0.023	0.066	0.063	0.171	0.078	0.15	0.339	0.298	-0.028	-0.129	0.137
Q15828	-0.057	0.075	0.048	-0.213	-0.15	-0.026	0.094	0.005	-0.153	-0.024	0.028	-0.036
O94898	-0.037	0.047	-0.024	0.112	-0.028	0.036	-0.001	0.03	-0.119	0.003	0.009	0.01
O14594	0.113	-0.05	-0.04	-0.097	-0.017	0.005	-0.153	-0.075	-0.008	-0.007	0.001	0.058
C9JFV1	-0.098	0.039	0.033	0.076	-0.009	0.013	0.001	0.008	-0.195	-0.099	-0.033	0.093
P11362-18	-0.101	0.108	0.06	0.008	0.046	0.043	-0.01	0.051	0.023	-0.038	-0.02	-0.021
Q5JS37	-0.14	0.007	-0.095	-0.056	-0.222	0.073	-0.071	-0.043	-0.08	-0.015	-0.126	-0.135
Q6MZT2	-0.142	0.002	0.195	-0.055	-0.09	0.042	0.076	-0.124	-0.243	-0.063	0.096	-0.115
P00441	-0.001	0.415	-0.091	0.362	0.945	0.823	0.297	0.469	0.859	0.277	0.23	0.399
O95633-2	-0.062	0.094	-0.03	0.211	-0.05	0.057	0.08	0.096	-0.009	0.069	0.105	0.031
O95185	0.042	-0.046	-0.01	0.007	-0.019	-0.064	-0.014	-0.137	-0.023	-0.063	-0.012	-0.032
P04062	-0.064	0.018	-0.139	0.045	-0.092	0.025	-0.1	-0.059	-0.184	0.01	-0.059	0.085
Q8IV08	0.014	-0.001	0.086	-0.083	0.124	0.007	0.078	-0.029	0.04	0.045	0.156	0.105
Q92692	-0.087	0.125	-0.034	-0.004	-0.089	0.109	-0.02	0.024	-0.045	0.008	0.066	-0.003
Q13630	-0.014	0.184	-0.28	0.308	0.151	0.539	-0.25	0.175	0.095	0.181	0.008	0.164
P02746	0.108	-0.817	-0.021	-0.848	-0.048	-0.742	-0.721	-0.354	0.086	-0.738	-0.739	-0.375
Q13232	0.166	0.056	0.016	0.162	0.172	0.066	0.137	0.084	0.05	-0.011	0.103	0.068
Q5XKE5	-0.753	-1.493	-0.017	-0.055	-0.763	-1.51	-0.092	0.277	-0.924	-0.768	-0.16	0.789
Q00169	-0.067	0.085	-0.249	0.005	0.165	0.371	0.099	0.191	0.492	0.164	0.028	0.193
B4DNP6	-0.053	-0.032	0.127	-0.046	-0.149	0.007	0.121	-0.092	-0.197	-0.033	0.129	-0.058
P00761	0.166	-0.159	-0.01	-0.21	0.07	-0.176	-0.086	-0.185	-0.032	-0.015	0.055	-0.184
A6NFX8	-0.079	0.084	-0.033	0.29	0.306	0.249	0.082	0.229	1.035	0.154	-0.175	0.289
Q6IEE7	0.097	0.111	-0.087	0.113	0.032	-0.042	-0.059	0.062	-0.084	-0.039	-0.13	0.042
D2KTA8	-0.053	0.053	0.029	0.08	-0.164	0.035	-0.027	-0.017	-0.24	-0.167	0.019	0.004
Q86VZ4	-0.08	0.117	0.038	0.005	-0.238	0.059	0.022	-0.069	-0.099	0.13	-0.019	0.055
Q9UN36	-0.067	0.089	-0.009	-0.043	0.334	0.039	-0.037	-0.088	0.779	0.226	0.083	-0.136
Q5FWF9	-0.043	-0.51	-1.92	-0.952	-0.092	-0.453	-1.855	-1.382	0.051	-0.538	-0.695	-1.485
Q9UI42	-0.021	0.166	-0.055	-0.021	-0.053	0.083	-0.127	-0.046	-0.115	0.018	0.093	-0.175
O95025	-0.031	0.043	-0.064	0.051	-0.089	-0.03	-0.15	0.034	-0.147	-0.071	-0.169	-0.086
P38571	0.045	0.008	0.031	0.025	0.008	-0.002	0.168	0.039	-0.085	-0.044	0.044	0.035
P35556	-0.009	0.056	0.039	-0.021	-0.098	0.103	0.11	0.244	-0.146	0.11	0.066	-0.017
P61604	0.101	0.258	0.022	0.117	1.203	0.448	0.381	0.059	1.966	0.565	0.584	0.074
O15240	-0.316	0.043	-0.056	-0.132	-0.178	-0.196	-0.502	-0.402	-0.118	-0.06	-0.136	-0.376
P08572	0.082	0.065	0.064	-0.126	-0.138	-0.001	0.172	-0.13	-0.048	-0.009	0.002	-0.092
P34949	0.161	0.174	-0.03	0.352	0.353	0.333	0.33	0.406	0.678	0.582	0.785	0.471
P20930	-0.516	0.007	0.294	0.013	-0.513	0.146	0.044	-0.032	-0.012	0.162	0.031	-0.003
P31937	-0.093	0.02	-0.281	-0.01	0.642	0.022	0.089	0.186	1.597	0.281	0.201	0.168
Q96HC4	0.027	-0.022	0.276	0.179	0.261	0	0.298	0.292	0.516	0.071	0.59	0.438
Q00266	-0.032	-0.076	-0.111	0.116	0.597	0.377	0.206	0.039	1.224	0.442	0.342	0.09
D3DUY6	0.009	-0.014	-0.135	-0.154	-0.053	-0.037	-0.215	-0.347	-0.155	-0.094	0.001	-0.226
P78385	1.142	-2.277	-0.227	0.105	0.247	-2.276	-0.326	0.39	-0.232	-1.945	-0.217	0.231
Q96GX9	-0.037	-0.027	-0.186	0.297	0.125	0.004	0.241	0.005	0.549	0.027	0.295	0.501
Q86YB7	0.101	NA	NA	-1.633	0.644	NA	NA	0.206	1.513	NA	NA	0.088
Q99424	0.093	-0.096	NA	NA	0.655	-0.293	NA	NA	1.572	-0.113	NA	NA
P30038	0.077	NA	0.217	NA	1.339	NA	0.923	NA	1.536	NA	0.747	NA
P02549	0.429	0.766	0.175	0.352	0.467	0.631	0.41	0.212	0.247	0.258	0.234	0.111
P02769	0.136	-0.307	-1.235	-1.164	0.874	-0.25	-0.76	-1.867	-0.079	-0.249	0.272	-2.419
P30520	0.024	0.026	-0.035	0.138	0.229	0.04	0.086	0.263	0.293	0.304	0.07	0.199
Q8TEU8	-0.072	0.015	-0.034	0.026	-0.166	-0.033	-0.128	0.052	-0.282	-0.162	-0.151	0.096
Q13126	0.065	-0.063	0.045	0.099	0.243	0.086	0.197	0.062	0.794	0.225	0.411	0.169
P35580-3	-0.158	-0.032	0.225	0.431	-0.299	-0.08	0.322	0.66	-0.251	0.063	0.38	0.084
P05160	0.162	-0.047	-0.349	-0.261	0.053	-0.013	-0.027	-0.365	0.015	-0.033	0.072	-0.363
Q96MK3	-0.041	0.151	-0.019	-0.044	-0.058	0.197	0.051	-0.059	-0.168	0.051	-0.038	-0.113
Q9NR71	0.032	-0.027	0.021	0.114	-0.129	-0.018	-0.022	0.006	-0.068	0.015	0.079	0.078
D3YTC4	0.022	-0.011	0.032	0.054	-0.094	-0.008	0.011	0.075	-0.162	0.008	-0.078	-0.006
Q5R343	0.156	-0.089	0.131	-0.076	0.106	0.006	-0.057	0.031	0.128	-0.063	0.214	-0.178
P28074	-0.113	0.109	-0.062	-0.045	0.378	0.207	0.089	-0.014	0.57	0.44	0.356	0.11
B4DNT0	-0.099	0.093	0.118	0.279	0.206	0.096	-0.016	0.405	0.228	0.189	-0.094	0.231
B7XD04	0.036	-0.024	-0.004	-0.038	-0.051	0.012	0.001	0.014	-0.057	0.039	0.078	-0.077
B4DKI2	-0.09	0.028	-0.375	-0.069	0.43	0.102	-0.191	-0.086	1.269	0.196	-0.336	-0.131
Q7LGC8	0.092	0.235	0.06	0.067	-0.238	0.23	0.065	0.007	-0.208	-0.019	-0.138	-0.001
P48960	0.026	-0.008	0.02	-0.052	0.005	0.007	0.165	-0.063	-0.02	-0.027	0.027	-0.067
Q9Y4E8	-0.09	0.097	-0.255	0.158	0.094	0.426	-0.139	0.064	0.13	0.233	0.025	0.036
Q8TDQ7	0.093	0.165	-0.006	0.149	0.397	0.242	0.127	0.193	0.493	0.152	0.304	0.222
P49247	0.098	0.133	-0.048	0.111	0.223	0.329	0.18	0.116	0.112	0.253	0.283	0.158
P49720	0.143	0.01	-0.021	0.047	0.412	0.071	0.003	0.116	0.933	0.269	0.23	0.114
